DraughtOfSouls,60272,63927,68844,70346,75824,79040,82536,86520,89533,92647,95694,100933
ToeKneesPromise,32633,31741,33498,34760,37225,39824,39207,39302,41228,42865,44969,46304
ConvergenceOfFates,90551,94245,97678,101046,104940,108132,109848,112916,115790,118891,123499,127860
RavagedSeedPod,30344,30709,29394,33566,31687,34005,34051,34475,36794,38110,42817,40695
DevilsaursBite,54190,55557,57122,56422,59454,61448,65066,64901,67173,71026,72082,75993
EntwinedElementalFoci,75400,79658,83375,87178,90608,93078,95061,100861,100802,107659,112791,118816
InfernalCinders,60515,62944,64105,66818,70941,72393,73561,78558,80466,84354,88770,90575
NightbloomingFrond,78387,83267,82546,91137,94278,98393,103058,108205,113778,119679,127707,132317
UnstableArcanocrystal,84872,84392,86339,89221,90865,92534,93391,94645,97056,98788,99915,101963
TirathonsBetrayal,67645,70106,72554,76861,79359,82931,87180,92120,93828,101278,104535,110849
SixFeatherFan,69087,74305,75861,79981,85584,89146,92732,93416,101170,105674,112404,116890
MarkOfDargrul,36033,36083,37991,36355,39861,41785,40645,44892,44468,46822,47028,46726
ArcanogolemDigit,62616,66323,71924,73112,75769,81918,82194,88186,90642,97616,101173,107340
EyeOfCommand,89657,92979,94509,97135,100830,104909,110246,112241,119054,123432,127607,129664
MementoOfAngerboda,77312,81445,80543,84835,91076,93348,99959,99876,104626,107736,112908,119061
Stat_Crit,75751,80143,82062,85631,89287,91148,95773,99848,103727,108849,112100,118576
BloodthirstyInstict,72475,75833,79173,80961,85476,88481,94107,93954,97553,104075,108054,111376
SpontaneousAppendages,48869,49895,50388,50573,55036,55365,57884,59229,59869,62826,66132,68436
ThriceAccursedCompass,73568,78474,79600,82109,86860,89758,96742,99569,101387,108877,110394,115344
Stat_Haste,68538,70849,74984,78444,81094,85939,88403,92460,97126,100266,104462,110807
NaturesCall,45697,47062,48188,48802,50581,49566,53106,52278,54322,57546,58249,58658
BloodstainedHandkerchief,62509,65197,67068,71789,76049,80410,82098,83596,90298,93264,99078,103373
EngineOfEradication,86278,87387,89122,94175,98145,99865,104920,109773,114907,117184,123711,131103
ChaosTalisman,75798,77258,80825,86831,87557,92608,96208,101003,105850,109418,114271,120739
UmbralMoonglaives,59381,62755,62478,67268,70200,75076,76712,79474,82163,83853,90396,90990
Stat_Mastery,82187,85504,90083,90843,96256,100138,102794,105413,112654,113888,120738,125406
WindscarWhetstone,39439,40075,41587,41415,42723,43635,45307,44850,46506,49811,50260,50387
TomeOfUnravelingSanity,70668,73708,77245,81653,85031,85334,91669,95812,98551,104608,106401,113339
Stat_Versatility,76077,78154,82594,87155,89778,91830,97564,98462,103506,109559,114029,118044
ChronoShard,65919,67494,72132,74417,76746,81331,84243,88521,89833,94918,99386,101775
SpikedCounterweight,36027,36956,34853,39085,41833,41763,41622,43494,44354,45715,49577,49402
NightmareEggShell,64103,67871,70961,72811,76219,79767,80558,85821,90629,94332,97001,104011
CradleOfAnguish,75417,80492,80830,85725,87342,92860,94959,98164,105815,107431,115225,119175
TemperedEggOfSerpentrix,58116,64306,66062,69524,72207,75751,79279,84870,87044,92503,95984,98996
HornOfValor,63106,63287,66950,69964,71608,74581,76632,79962,84543,88095,89734,92528
HungerOfThePack,76367,81995,84229,86872,91011,91883,98200,100624,104342,108959,114557,117466
TerrorboundNexus,47268,45771,48089,48264,52274,50954,54050,55678,57018,59437,60129,61709
FaultyCountermeasure,45312,46775,46720,47295,50812,50723,52850,56470,58751,58967,64239,63521
TinyOozelingInAJar,41202,41466,41993,44847,45665,46112,47301,47412,50562,51096,53032,52849
SpecterOfBetrayal,86856,90457,94265,99483,104344,109299,114114,120445,124834,132964,138464,145522
VialOfCeaselessToxins,72947,78977,83407,85863,91682,94512,98300,103128,108703,115281,118962,123664
