Trinket,900,905,910,915,920,925,930,935,940,945,950,955,970
FaultyCountermeasure,43426,44458,46313,48107,48580,50986,52459,54333,58131,55238,62605,61952,0
DraughtOfSouls,60450,61988,67052,70496,72773,76354,80139,84393,88295,90859,94046,97230,0
HornOfValor,60803,64455,67897,69736,71748,75784,78161,79758,83429,85659,88479,93246,0
InfernalCinders,59965,59510,64199,65015,70922,71205,73377,76383,80166,83986,84553,88701,0
NightbloomingFrond,77085,82533,84143,88184,94716,97456,102192,105718,111765,118525,125605,129461,0
SpecterOfBetrayal,85286,90290,93142,98216,103698,107504,111984,116328,124389,128694,135323,140672,0
RavagedSeedPod,27339,27040,28030,28727,31009,32987,30683,33927,35716,36621,39281,40363,0
NaturesCall,42889,44945,45945,46838,46361,49268,49832,51359,53510,52533,54822,55887,0
InfernalCinders_3Users,64827,65713,69390,71893,72476,77065,81874,82531,84971,89198,93659,98603,0
ConvergenceOfFates,91223,93896,96785,97574,103407,103384,107566,113398,114836,116343,121911,126428,0
ArcanogolemDigit,63192,67291,68049,71808,75898,79833,83250,88278,90449,95114,99610,106049,0
MarkOfDargrul,35379,36378,32850,36045,39570,41314,43131,42408,44234,43117,45733,45927,0
EntwinedElementalFoci,75678,77371,80379,81987,88414,90186,94342,98345,103175,109092,111478,115712,0
BloodthirstyInstict,72631,74266,77496,78892,81036,87167,92394,93167,96289,100254,106547,110236,0
ChronoShard,65098,69991,73330,71929,77277,79390,80296,85593,87469,93266,97221,99861,0
UmbralMoonglaives,61250,59833,62690,67728,67117,71653,72987,76615,78274,82724,87969,88360,0
Stat_Mastery,81541,83833,85954,90071,91588,97031,102467,104690,109033,111274,117963,119541,0
EyeOfCommand,87187,89060,93292,97427,98126,103945,107288,111718,115500,122128,126106,130131,0
Stat_Crit,73963,76653,79027,84153,89053,91051,93915,97541,103654,109148,109982,116489,0
MementoOfAngerboda,75060,77254,80567,84856,88675,94394,96452,98867,101302,110324,110500,115378,0
SixFeatherFan,69340,73635,76191,79749,82420,86409,90384,97251,100316,104888,109908,115012,0
ChaosTalisman,73211,77881,78110,83818,87024,89425,93334,100564,102243,108474,116396,117424,0
BloodstainedHandkerchief,60949,64384,64967,69938,73878,76497,80480,86532,89155,94316,95991,102268,0
NightmareEggShell,63615,68314,69362,70180,76152,76875,81664,83775,91258,93532,98654,99223,0
HungerOfThePack,77440,80432,80103,85124,88301,90752,94285,97030,102509,105814,113407,117040,0
EngineOfEradication_NoOrbs,56549,60501,62225,66869,67204,68823,72223,74591,76682,78871,81587,87241,0
CradleOfAnguish,75817,78150,79048,85224,87703,90697,95366,99423,104878,107210,114938,117156,0
TemperedEggOfSerpentrix,56900,60293,62817,69315,68771,73274,78314,81542,84249,90866,95679,100897,0
SpontaneousAppendages,47640,51230,49243,51670,51083,55725,56190,57231,58911,61452,62050,64427,0
ThriceAccursedCompass,73053,73420,79476,81496,84770,88734,92952,97167,102081,103512,109495,115287,0
EngineOfEradication,81844,85266,87984,94404,96549,100233,102393,105945,112794,115637,121861,128097,0
Stat_Haste,67440,69835,71924,78320,80165,85494,86415,92616,93262,95304,102191,107093,0
UnstableArcanocrystal,82911,83136,84516,87203,89609,89549,92633,92828,95152,97227,100100,100266,0
TirathonsBetrayal,65763,68485,70025,73920,77119,83548,85347,89645,92574,99188,104787,106170,0
SpecterOfBetrayal_NoOverlap,70418,71711,76271,79794,85281,86892,90089,97066,100213,107132,110654,117675,0
TomeOfUnravelingSanity,69678,74843,77960,78252,84433,85646,91605,94581,97425,101247,107860,110867,0
Stat_Versatility,71398,76168,78962,84299,86304,89166,94644,96886,103288,103915,111481,114277,0
SpikedCounterweight,34336,33114,34798,36897,35856,39494,39523,40012,43842,44976,44736,48692,0
VialOfCeaselessToxins,73637,77522,80247,85506,87497,93220,97888,102565,108115,109534,117244,123718,0
WindscarWhetstone,36040,36532,39459,40035,42574,41698,44589,44720,44684,45929,48863,50863,0
ToeKneesPromise,30346,32662,30388,35381,36170,36685,36560,39186,39220,40526,43595,44046,0
TerrorboundNexus,42572,45183,47522,48755,49346,50302,52134,52734,55110,54875,58323,61001,0
TinyOozelingInAJar,39792,39193,41465,42628,40668,44926,44329,46690,47622,48826,50322,52576,0
KiljaedensBurningWish,0,0,0,0,0,0,0,0,114300,0,0,0,147596
InfernalAlchemistStone,0,0,0,0,0,0,0,91266,0,0,0,0,0
