Trinket,900,905,910,915,920,925,930,935,940,945,950,955,970
FaultyCountermeasure,45401,48499,48493,51065,51900,55217,55821,58589,60632,62100,64604,66586,0
DraughtOfSouls,22086,26278,27994,31658,35076,39580,41696,44026,48990,53758,56058,62061,0
HornOfValor,63655,67705,67585,72070,74592,76925,79360,82193,85640,89914,91716,94272,0
InfernalCinders,66384,70280,73618,75649,77594,84080,84307,87700,89920,94958,97076,104131,0
NightbloomingFrond,134676,140327,146110,152469,159559,168581,175749,184947,194425,204086,212214,222072,0
SpecterOfBetrayal,83855,88332,95168,97004,100273,105614,110872,117545,123446,128882,136870,142949,0
RavagedSeedPod,30400,27775,31002,31478,33711,34186,35346,34830,37504,37578,38008,38173,0
NaturesCall,40990,42611,42757,42883,44583,45384,45608,46271,48500,48614,49066,52285,0
InfernalCinders_3Users,71992,75037,76795,81627,85822,89180,90982,95524,97614,101790,106099,112258,0
ConvergenceOfFates,112199,114468,117870,119529,121264,123266,129032,130804,134044,138915,139367,145325,0
ArcanogolemDigit,61261,67375,68024,72935,77021,79167,82689,87889,90842,97853,100735,104869,0
MarkOfDargrul,32820,36715,36924,36080,40136,40237,41084,42901,44095,47520,46691,46844,0
EntwinedElementalFoci,70458,72447,76628,77804,79534,83417,86946,90935,94741,98041,104578,105236,0
BloodthirstyInstict,74497,77899,82178,83554,86825,91818,91739,96809,102316,103760,108012,111430,0
ChronoShard,64323,69109,71655,75464,76150,79468,81730,87044,89568,92115,96128,99747,0
UmbralMoonglaives,59534,61754,65145,67332,69182,70350,73481,76998,79131,80981,87127,90092,0
Stat_Mastery,69191,71290,72180,76533,80985,82511,87731,90370,94585,96818,102164,105326,0
EyeOfCommand,78307,80689,83820,89072,90300,96226,100426,101476,105819,112722,113435,118493,0
Stat_Crit,68163,71125,74160,77396,81345,83433,88259,91513,94741,97067,104281,106491,0
MementoOfAngerboda,70025,71914,73199,75544,82924,84046,86205,91565,95127,99154,100520,107352,0
SixFeatherFan,73198,73037,78135,80856,84032,90260,94086,96854,103921,109001,111051,120412,0
ChaosTalisman,76363,77694,83308,86640,88445,90059,96260,99629,105017,107614,112501,116799,0
BloodstainedHandkerchief,61762,64267,66267,69405,72866,75243,80468,85521,88647,94749,97938,103094,0
NightmareEggShell,66410,67466,67994,73926,77345,80195,83325,85317,89632,94219,95524,100903,0
HungerOfThePack,67927,73070,73867,79191,81258,86137,86633,90971,95472,97956,101048,107451,0
EngineOfEradication_NoOrbs,49411,49035,50444,54288,55434,58362,60082,58638,63157,65988,68169,69322,0
CradleOfAnguish,73986,78009,78656,81951,87572,90027,92006,96566,101626,104151,109038,114779,0
TemperedEggOfSerpentrix,59928,63361,65464,67981,70555,76271,76527,81702,85770,90453,95231,98483,0
SpontaneousAppendages,43093,45760,43931,46680,49881,51227,51154,52967,56903,59238,60144,62842,0
ThriceAccursedCompass,65943,71774,73022,74350,81301,83286,86492,88464,92846,97221,102205,104625,0
EngineOfEradication,70998,73126,76523,79585,83110,87549,90173,94969,97156,100666,104374,112923,0
Stat_Haste,68235,67403,73100,74107,78765,81769,83590,88968,91314,96524,98528,103721,0
UnstableArcanocrystal,71971,75207,75196,76779,79982,81741,80100,84204,84878,86129,87171,89703,0
TirathonsBetrayal,63808,66681,68938,76589,76500,84153,85195,89987,92223,97082,101732,108880,0
SpecterOfBetrayal_NoOverlap,68586,72281,74197,79556,82738,86503,89211,93356,97766,105272,108525,112549,0
TomeOfUnravelingSanity,64209,68088,69363,75102,78212,78199,84685,88217,92602,94568,99477,103485,0
Stat_Versatility,72361,75858,80192,80502,87091,85950,92438,92638,97168,101309,109624,111542,0
SpikedCounterweight,36503,37687,39937,44093,40302,44876,43505,44882,46220,50606,50260,53485,0
VialOfCeaselessToxins,74918,79268,82301,87599,88600,94263,99410,103243,107086,113388,117142,124905,0
WindscarWhetstone,27498,28994,28684,29563,29897,33023,32193,34592,34270,37094,38837,37388,0
ToeKneesPromise,37124,38206,37880,39908,41304,41621,42855,45332,45399,48691,49727,49495,0
TerrorboundNexus,39131,39894,44635,44675,44060,45014,48375,48897,51990,51886,55604,56350,0
TinyOozelingInAJar,33961,33371,35863,35981,35442,39243,40566,40449,41496,44677,42927,45419,0
KiljaedensBurningWish,0,0,0,0,0,0,0,0,104858,0,0,0,136744
InfernalAlchemistStone,0,0,0,0,0,0,0,89092,0,0,0,0,0
