Trinket,900,905,910,915,920,925,930,935,940,945,950,955,970
FaultyCountermeasure,45234,46987,48000,49935,50235,54167,54725,56418,60041,61238,63783,66737,0
DraughtOfSouls,45217,45878,49838,52946,57010,59759,62320,67835,70684,76062,81438,86067,0
HornOfValor,56098,57988,61603,63166,64452,67849,68016,72702,76080,79206,81585,85686,0
InfernalCinders,67232,69975,72979,77993,77673,82547,85778,89986,92699,98322,103816,105205,0
NightbloomingFrond,83412,87002,91964,95898,100878,106268,110584,115983,122476,126539,133158,138960,0
SpecterOfBetrayal,84748,90766,94824,97975,102995,107596,112792,117983,122757,129085,136347,142351,0
RavagedSeedPod,34028,34631,36054,34689,35236,38021,40134,39724,40866,42023,44275,46135,0
NaturesCall,35788,37841,37709,38192,40545,41887,41633,43249,46332,44896,45809,46339,0
InfernalCinders_3Users,73442,76730,79969,83301,87786,90295,95781,97406,102378,106252,110782,114356,0
ConvergenceOfFates,116712,119894,121344,124714,124867,130988,131567,133787,137626,143123,145098,151074,0
ArcanogolemDigit,64145,65937,69420,73397,77018,79239,82661,87457,91612,96827,103032,104935,0
MarkOfDargrul,32620,33374,34794,34910,35779,36603,37583,40124,40713,42737,44339,47008,0
EntwinedElementalFoci,66057,68045,70500,73398,77361,79350,83391,83479,90446,94331,97370,100401,0
BloodthirstyInstict,75885,78884,82590,84360,89213,91007,95444,97736,101600,108129,111714,114561,0
ChronoShard,66354,68585,70722,71437,77289,80628,84623,87672,90756,94675,98558,101579,0
UmbralMoonglaives,55665,60364,60445,64290,66415,67969,71795,75173,77666,79946,82273,86174,0
Stat_Mastery,62627,64950,67449,69916,73509,77266,78322,82125,85074,88649,93335,97143,0
EyeOfCommand,72084,73401,79478,82533,82540,86026,90807,92703,97416,102064,105556,110990,0
Stat_Crit,60940,66331,69183,71025,73647,79149,80083,83131,88223,90945,94441,99941,0
MementoOfAngerboda,65817,66638,70769,72633,77527,79927,82170,86869,90274,92128,98035,103214,0
SixFeatherFan,70140,75944,77750,82714,88615,89923,96370,100599,106190,109908,115593,119786,0
ChaosTalisman,74342,77211,82535,84612,87811,92502,95190,98944,102616,109760,112309,116660,0
BloodstainedHandkerchief,60774,63800,67534,69730,72445,77939,81023,85635,89777,93725,99240,103336,0
NightmareEggShell,65052,67397,71605,73061,75484,79977,83470,86421,88496,93789,96512,101164,0
HungerOfThePack,62816,66948,69020,71571,75863,78587,80905,86357,89355,90912,95852,100324,0
EngineOfEradication_NoOrbs,40751,44076,45984,46658,46296,49543,52805,54126,54867,57682,60959,65658,0
CradleOfAnguish,75338,75119,80757,82869,85808,92033,95052,97531,103101,104929,111616,116659,0
TemperedEggOfSerpentrix,58902,61950,65092,67734,71729,75020,79145,84694,86360,91552,94370,97744,0
SpontaneousAppendages,39394,40914,44019,46308,48707,47669,50096,52006,54856,55374,58651,61191,0
ThriceAccursedCompass,65665,66994,70215,72825,76685,79895,82187,86195,87231,94546,97624,102407,0
EngineOfEradication,63555,64438,69682,73547,75294,79086,82361,86063,89129,91940,97212,99822,0
Stat_Haste,66859,71089,75566,75539,79393,84043,87846,89601,95040,96679,101060,106915,0
UnstableArcanocrystal,61827,65362,66921,67062,68249,67858,70408,73349,73673,75837,77286,76572,0
TirathonsBetrayal,66487,65517,70501,75533,77720,82827,85106,89225,94239,98191,104116,108849,0
SpecterOfBetrayal_NoOverlap,67290,69562,72963,78351,80886,86961,89729,93503,97955,103604,107935,112282,0
TomeOfUnravelingSanity,61595,66275,68932,71306,74170,77046,81383,87451,87839,94969,97976,102256,0
Stat_Versatility,65110,66074,70512,72414,76293,79193,81704,86615,89826,94148,97728,100491,0
SpikedCounterweight,38506,40085,44276,44320,44506,45409,47414,47512,50857,50796,52755,52664,0
VialOfCeaselessToxins,75699,78904,83508,86409,91816,95083,101992,104664,109559,115941,120667,127409,0
WindscarWhetstone,25175,25398,25028,26832,27709,27699,30497,29776,31455,32950,32536,34685,0
ToeKneesPromise,40460,42879,43716,46446,47191,47345,49769,53792,52367,55689,55846,58512,0
TerrorboundNexus,37196,38551,39658,41995,42209,43250,47206,46791,48160,51065,53171,52913,0
TinyOozelingInAJar,28676,28855,31385,32525,33617,34785,34808,37651,37051,40923,39303,41706,0
KiljaedensBurningWish,0,0,0,0,0,0,0,0,102394,0,0,0,131500
InfernalAlchemistStone,0,0,0,0,0,0,0,79438,0,0,0,0,0
