Trinket,900,905,910,915,920,925,930,935,940,945,950,955
DraughtOfSouls,33857,37264,40953,42760,47751,50014,57927,62710,65660,69155,74431,77243
ToeKneesPromise,44485,46619,46986,48510,49847,48892,57775,60681,64242,63468,67824,67433
ConvergenceOfFates,134407,135867,140400,140492,145839,148881,151357,155094,159241,162275,168093,169727
RavagedSeedPod,36669,35817,38290,39955,39688,41275,47083,47258,49331,52493,54140,54151
DevilsaursBite,46324,49300,50526,52760,54970,57406,59777,59535,63166,67316,68745,72750
EntwinedElementalFoci,73155,74938,78333,82679,83932,88768,92030,95226,99302,102870,108244,115512
InfernalCinders,67565,65691,70063,73608,75633,81896,83342,83661,89049,91902,100368,100023
NightbloomingFrond,85880,89829,96495,99108,103824,107020,113692,120180,124441,130287,136675,143851
UnstableArcanocrystal,74144,75243,77682,80543,80724,84459,85504,86742,88208,87125,91227,93819
TirathonsBetrayal,66578,69706,71246,77383,81588,84539,89123,92034,96758,103346,107138,112647
SixFeatherFan,74846,74322,81022,86693,88198,95677,97217,101964,107377,114882,119283,126009
MarkOfDargrul,31219,32822,33810,35839,34637,37740,39721,41549,42706,43538,45763,46144
ArcanogolemDigit,64349,69956,72041,75445,81429,83931,85026,91516,95372,101821,106548,111844
EyeOfCommand,80764,83361,85535,91048,91987,93923,99602,104081,107038,111701,117028,119171
MementoOfAngerboda,71337,75389,78669,82945,83335,86628,92907,96454,100327,102467,105991,111480
Stat_Crit,70317,72137,75491,79868,83702,87634,86885,91736,98115,99291,104299,108176
BloodthirstyInstict,87781,90102,92189,99685,102328,104024,107798,112233,117404,120407,124272,129349
SpontaneousAppendages,40602,41811,44260,44045,47851,48602,50611,52255,56807,54615,57970,59844
ThriceAccursedCompass,71577,75468,79107,80931,86328,88637,91390,97055,96302,106229,107165,111912
Stat_Haste,78262,80232,82111,85946,87875,94666,101348,106899,111054,112856,118865,123785
NaturesCall,40430,42137,45006,43576,46183,46437,47149,48478,50018,52304,52386,51945
BloodstainedHandkerchief,62917,66627,69227,71955,74899,80474,86159,87422,91508,97822,101896,109328
EngineOfEradication,71453,73902,75801,79416,85192,87106,89023,94780,96538,100671,105983,110661
ChaosTalisman,85016,87613,92317,93969,98387,103470,111102,117077,118330,126011,129967,136077
UmbralMoonglaives,59453,59932,64655,64477,68696,73318,71389,75887,78702,82829,84623,86190
Stat_Mastery,67917,71368,75565,78342,79630,84719,86856,90332,95827,100468,103374,105383
WindscarWhetstone,25534,26616,25666,28843,28669,27441,29861,30460,32539,34395,34224,36045
TomeOfUnravelingSanity,67908,72052,72492,78290,80995,82863,88239,92244,96517,101614,106255,109593
Stat_Versatility,76670,77600,81671,84419,87803,91239,95508,100339,102471,108832,109525,115382
ChronoShard,75917,77222,81366,84155,86498,90299,93471,98228,102059,107160,109889,115888
SpikedCounterweight,41767,43925,46200,46324,46788,50436,57899,54871,56806,62899,61354,63491
NightmareEggShell,74911,77324,79176,80211,88749,90095,93600,95294,100552,104160,108864,111664
CradleOfAnguish,81587,86076,92742,92679,94621,101589,110676,113657,118839,121699,127260,134737
TemperedEggOfSerpentrix,60433,67268,69211,71474,74926,79531,82557,88608,91172,96660,101941,106336
HornOfValor,64496,66935,70810,75573,75842,79003,80894,82522,87177,91656,96032,97143
HungerOfThePack,69555,72538,76995,77728,80850,85125,88564,91558,96224,100215,106945,110865
TerrorboundNexus,35102,40133,40546,40568,41524,42791,46422,46027,47561,50469,52265,54482
FaultyCountermeasure,44429,45001,46526,47976,52101,52687,54327,56444,58199,60481,65016,65533
TinyOozelingInAJar,31974,33511,32311,31762,34063,32211,35179,37513,38434,40752,40041,43895
SpecterOfBetrayal,84552,87801,92347,100475,103057,107770,111971,119193,121556,131615,135816,142640
VialOfCeaselessToxins,78424,83670,85929,88322,92311,96538,101531,107273,111176,118749,123323,128813
