Trinket,900,905,910,915,920,925,930,935,940,945,950,955,970
FaultyCountermeasure,38719,41425,41246,43157,43747,46536,48641,48118,50911,52218,53890,57902,0
DraughtOfSouls,52953,55520,58218,62661,65127,69026,71730,76769,80043,83880,88566,92408,0
HornOfValor,60044,64298,62456,68777,69459,72882,76808,79324,82482,85254,89932,92919,0
InfernalCinders,54872,55350,58558,59811,62037,64857,67709,69610,74307,75065,78386,82740,0
NightbloomingFrond,74202,77313,82571,83112,89160,93300,97912,102207,107530,113725,117218,122206,0
SpecterOfBetrayal,82815,86184,92047,96408,101694,105832,110167,114910,123017,126485,133603,140731,0
RavagedSeedPod,21936,22170,24232,24283,23885,25290,26343,27503,28380,28983,28369,30779,0
NaturesCall,39569,38282,39921,40787,41513,43849,44010,43708,45521,46890,49197,50118,0
InfernalCinders_3Users,57594,60637,63043,64679,67328,70658,75404,77372,79900,81899,84556,89469,0
ConvergenceOfFates,89638,90614,92653,96092,98259,102331,105066,107706,113157,114170,117279,122076,0
ArcanogolemDigit,60371,61444,66062,69417,71585,73644,79197,82785,84494,92593,95655,100111,0
MarkOfDargrul,29275,32327,31541,33619,34498,33272,34971,37996,36818,38610,39297,39751,0
EntwinedElementalFoci,70039,71456,77071,80429,81228,85462,88368,91388,95240,99589,103589,109519,0
BloodthirstyInstict,65073,69080,70480,72202,75679,77382,80148,86473,89373,92363,96216,100119,0
ChronoShard,59586,61791,64902,66856,71533,74469,75950,79867,83258,87037,90598,94724,0
UmbralMoonglaives,55588,57755,59898,62108,64498,66017,69632,72108,75887,78910,80122,83708,0
Stat_Mastery,76097,80268,83159,86077,88677,92091,94692,99283,104226,108238,111508,115915,0
EyeOfCommand,76454,80260,83190,88300,91405,94423,97805,101976,106566,110817,114961,120774,0
Stat_Crit,68692,73046,74985,76273,81149,82415,87059,91862,94380,99546,101875,106280,0
MementoOfAngerboda,69627,72706,76135,78660,80793,83564,86821,91764,95182,99821,103306,109668,0
SixFeatherFan,66197,67541,73664,75464,78581,82905,87433,90551,94327,101835,106274,108497,0
ChaosTalisman,65753,68951,70718,74877,77808,81452,84714,88395,92037,95277,99810,103542,0
BloodstainedHandkerchief,57025,61235,62703,68219,71360,72672,76123,81618,84851,89559,92581,97709,0
NightmareEggShell,59578,59698,64514,65379,67950,72736,76179,78323,81430,85358,88978,93479,0
HungerOfThePack,67064,70699,75296,77153,77510,83344,87511,92699,93723,98214,102129,106552,0
EngineOfEradication_NoOrbs,54605,56031,58097,60844,62202,63609,65443,68964,71581,73295,77055,80137,0
CradleOfAnguish,66139,69175,71733,73956,78046,81646,84322,88824,93925,96423,101336,104633,0
TemperedEggOfSerpentrix,56258,58449,61771,65359,67968,72637,73699,78744,80624,86553,90888,94414,0
SpontaneousAppendages,44377,44434,45836,48568,48364,48880,52015,53985,56197,57489,60305,62872,0
ThriceAccursedCompass,68585,71999,74375,78660,81388,82386,86910,89599,93678,98336,101444,107522,0
EngineOfEradication,77485,83195,84194,87872,92515,96038,100235,102772,106582,111046,115276,121624,0
Stat_Haste,60444,61996,64908,69029,70287,72058,76495,80421,85185,87476,91457,95836,0
UnstableArcanocrystal,66840,69781,70319,71477,74477,74054,77887,76087,78212,81662,81921,84430,0
TirathonsBetrayal,62248,64152,67321,69030,74185,78074,81107,83738,88762,93274,96416,102044,0
SpecterOfBetrayal_NoOverlap,67014,72084,73776,79840,80542,86601,89193,95468,100266,104068,106770,113167,0
TomeOfUnravelingSanity,64227,64097,69382,72188,75656,78448,83442,84951,90060,92664,97116,103876,0
Stat_Versatility,69057,72374,74714,78297,83402,84213,87513,90632,94938,98809,103522,104945,0
SpikedCounterweight,27262,28623,31868,29907,30307,33016,33300,34991,34855,37949,37675,37685,0
VialOfCeaselessToxins,70720,73405,78466,81764,85794,88387,94645,97580,102288,108157,114875,118601,0
WindscarWhetstone,34698,36009,37555,38074,40011,41871,40362,42625,44320,46493,45771,45768,0
ToeKneesPromise,26316,26008,25903,26413,28366,29731,29864,30758,32796,31869,34263,35442,0
TerrorboundNexus,41514,40985,42498,44858,46737,47877,48140,50276,51929,52820,55838,57863,0
TinyOozelingInAJar,35765,35992,36894,39212,38358,42210,40182,42252,43917,45115,49107,48030,0
KiljaedensBurningWish,0,0,0,0,0,0,0,0,106900,0,0,0,135146
InfernalAlchemistStone,0,0,0,0,0,0,0,84604,0,0,0,0,0
