Trinket,900,905,910,915,920,925,930,935,940,945,950,955,970
FaultyCountermeasure,45289,46958,48088,50302,51864,51685,54151,59119,58728,61686,63758,68129,0
DraughtOfSouls,34333,38326,41146,43047,46241,53026,60619,63381,67268,71731,76882,79904,0
HornOfValor,65155,68110,71174,73600,76202,77721,83631,84260,88095,91417,96527,99750,0
InfernalCinders,66105,67893,70719,74868,77311,79041,83064,87297,92274,93956,99465,100946,0
NightbloomingFrond,87514,91302,95418,99762,103138,110191,114664,119582,126466,132080,136938,143315,0
SpecterOfBetrayal,84965,89087,94227,98938,104785,108922,114093,120691,123907,132379,136427,143952,0
RavagedSeedPod,34931,38341,40340,40652,40468,40881,48675,48380,50601,50965,52637,55863,0
NaturesCall,42207,45397,44888,46121,44609,45266,48825,48292,48471,53638,52242,55318,0
InfernalCinders_3Users,70304,73719,78220,79711,81840,85268,90080,93831,98937,102651,105225,109778,0
ConvergenceOfFates,135552,139074,141784,144005,146098,150688,152604,155238,159982,163182,166010,170651,0
ArcanogolemDigit,67513,69524,72884,78164,80070,83605,87850,91448,98075,101081,105281,110003,0
MarkOfDargrul,34304,34337,36286,34661,39573,39547,39570,42966,42806,44821,45273,46726,0
EntwinedElementalFoci,73441,74185,77578,82202,83638,87590,92696,96889,100401,102824,109223,112475,0
BloodthirstyInstict,87724,89944,94438,99737,102137,104026,109072,112819,116557,120890,125457,131027,0
ChronoShard,74802,77752,79973,83776,86624,91368,94392,97684,101052,106527,113619,114679,0
UmbralMoonglaives,60181,61461,62370,66222,70961,71555,76029,76274,81300,83686,87797,89298,0
Stat_Mastery,68316,73113,73888,77995,82635,84946,87901,89513,96220,100260,102506,109809,0
EyeOfCommand,79187,84931,83421,89557,92782,98749,98614,104810,109885,111962,116300,121051,0
Stat_Crit,70392,71952,77442,79577,82094,85433,89946,96193,96796,103363,104421,109264,0
MementoOfAngerboda,73406,76719,80076,81059,87902,89394,91411,96424,98307,102444,106568,113172,0
SixFeatherFan,74165,78738,78822,88044,87093,92707,98102,103261,107559,113959,120408,124316,0
ChaosTalisman,86761,86865,90140,96249,97574,104106,111803,116525,119546,124943,131252,138057,0
BloodstainedHandkerchief,63380,68287,72400,74309,77022,80306,82564,89100,94345,95562,101783,106857,0
NightmareEggShell,75048,78038,80457,82443,87731,91266,94037,97947,100514,104228,108882,114050,0
HungerOfThePack,69215,75109,75253,80521,82902,85591,89836,93707,98148,103534,105412,108205,0
EngineOfEradication_NoOrbs,44346,47616,49746,51575,55072,55098,57297,58431,60725,64004,65828,69477,0
CradleOfAnguish,86598,87486,92773,94050,98398,101804,112401,114828,121121,123320,128765,134461,0
TemperedEggOfSerpentrix,63254,66344,68829,74652,76502,81234,83063,89436,92597,99585,100024,107089,0
SpontaneousAppendages,39241,38478,42388,47509,44520,49114,48669,52798,53719,57190,57783,59299,0
ThriceAccursedCompass,74226,74537,79549,80284,83300,88155,92046,95953,100954,103444,108577,111389,0
EngineOfEradication,71704,74041,77809,80593,84149,87427,90924,94228,97177,101706,107399,111834,0
Stat_Haste,77611,80175,82413,86314,90159,92169,102997,107945,108859,115516,117522,124277,0
UnstableArcanocrystal,75643,78001,77598,82063,84326,81722,83773,87209,87365,90037,94362,93753,0
TirathonsBetrayal,65810,69143,74376,76945,82393,86413,88674,94137,101055,105858,106114,110724,0
SpecterOfBetrayal_NoOverlap,67678,72632,76626,81113,86933,86373,93195,94506,101913,107932,110690,117169,0
TomeOfUnravelingSanity,67619,72379,76587,76834,82130,84347,90041,91658,96217,101858,107179,110693,0
Stat_Versatility,74915,79868,83550,84071,88126,91034,94713,101038,104858,107259,110986,117401,0
SpikedCounterweight,42810,43831,46671,47632,47044,48953,56440,59016,60658,62179,63866,63008,0
VialOfCeaselessToxins,78372,83052,83853,89940,94824,96681,102114,108953,111831,120517,123217,128385,0
WindscarWhetstone,23805,26692,27896,27834,27828,29548,30007,30740,32704,33384,34125,37152,0
ToeKneesPromise,42778,46790,46298,46257,48894,49269,59494,60505,60806,65972,68737,67341,0
TerrorboundNexus,37481,37206,39188,42013,41504,45389,47296,46126,49996,49647,54340,54233,0
TinyOozelingInAJar,31311,33796,31635,33866,33291,36640,36661,37188,38320,40517,44439,43728,0
KiljaedensBurningWish,0,0,0,0,0,0,0,0,112241,0,0,0,144919
InfernalAlchemistStone,0,0,0,0,0,0,0,90468,0,0,0,0,0
