Trinket,900,905,910,915,920,925,930,935,940,945,950,955,970
FaultyCountermeasure,35308,36474,38309,39164,40335,41140,44474,44420,46362,48724,50666,49616,0
DraughtOfSouls,38629,43253,45032,48634,50518,53397,56147,60487,61667,65142,69135,72797,0
HornOfValor,56734,57749,60481,63200,65461,67823,69564,72660,75372,78362,81636,85431,0
InfernalCinders,53456,55701,55910,59312,60955,63690,66471,69800,72144,73095,76855,79041,0
NightbloomingFrond,78409,82061,86867,91319,95655,100669,105002,110018,114411,121575,124296,130448,0
SpecterOfBetrayal,78400,81883,83644,89064,93765,99259,101924,108455,113356,119256,123848,130883,0
RavagedSeedPod,19981,19886,20480,21661,22419,23415,24597,24069,25983,26984,29821,27766,0
NaturesCall,35644,37321,37814,39425,38612,41125,41901,42561,40374,43643,44278,45693,0
InfernalCinders_3Users,56040,58176,62136,64066,67464,69577,71595,75999,77683,77992,83078,86727,0
ConvergenceOfFates,91607,94067,94397,98406,101014,103555,107444,110044,114171,117623,119376,123464,0
ArcanogolemDigit,59702,63483,65634,68103,71102,76371,77781,82760,87116,91569,95353,98601,0
MarkOfDargrul,29630,30996,31460,32413,35418,34703,34878,36862,38105,39606,40694,41838,0
EntwinedElementalFoci,69172,70317,74246,74913,78934,81075,85062,88925,94049,98063,102406,105021,0
BloodthirstyInstict,69002,71315,72453,75059,79897,82641,85009,88859,92330,97396,99250,103863,0
ChronoShard,60748,63830,66936,69240,72462,73824,78435,81841,85149,89418,93908,97423,0
UmbralMoonglaives,60595,62170,66731,67165,70243,74411,76275,78819,82950,85669,89299,93049,0
Stat_Mastery,71286,72554,76045,78264,82549,85899,88045,93875,95096,99193,104364,108910,0
EyeOfCommand,79146,79516,82201,84353,89972,94897,96465,100231,104181,107613,114139,118137,0
Stat_Crit,67849,71802,75096,77178,80066,83283,86239,90566,94288,97688,100169,106806,0
MementoOfAngerboda,68165,71261,73054,75617,78766,82074,86480,87940,92126,98532,100390,106566,0
SixFeatherFan,65470,68575,71622,76004,80482,83346,86200,91675,95052,99478,104201,108742,0
ChaosTalisman,69406,71606,75134,77557,80196,83507,87652,92600,95941,100256,103915,109880,0
BloodstainedHandkerchief,57499,60981,64527,67364,68872,72679,77803,81312,84434,89929,94231,97188,0
NightmareEggShell,59560,63815,64923,67924,71479,74234,79146,81130,85085,86587,91262,96223,0
HungerOfThePack,68249,71161,74460,76739,78108,82804,86500,89106,94332,98053,102826,107595,0
EngineOfEradication_NoOrbs,47895,49287,52532,54710,55104,57590,57764,62245,64695,64931,68900,70754,0
CradleOfAnguish,68147,72493,73874,78670,79928,84447,87329,90475,94692,99706,103187,107582,0
TemperedEggOfSerpentrix,58068,59052,60944,65202,69324,73213,76413,79327,81732,88005,91105,95229,0
SpontaneousAppendages,39168,39819,41016,43547,44568,43820,45329,47188,51083,51151,51293,55630,0
ThriceAccursedCompass,66854,69742,74789,76074,78708,82183,84917,88161,92061,96093,99050,105617,0
EngineOfEradication,72893,74948,76794,79013,82958,87243,89994,93457,99208,101432,105042,109406,0
Stat_Haste,63771,64934,67463,72958,73302,78249,79439,83776,86671,90873,94309,98945,0
UnstableArcanocrystal,63163,66494,65640,67512,68622,69455,72297,73191,75372,75388,76048,79704,0
TirathonsBetrayal,57213,61141,64732,67460,71029,72581,77655,82036,83447,89629,92665,97957,0
SpecterOfBetrayal_NoOverlap,69548,73491,75960,79990,84077,88875,93510,95629,101209,106325,109732,114432,0
TomeOfUnravelingSanity,63360,67089,70241,72851,77149,79348,83217,87037,90676,94055,98476,102790,0
Stat_Versatility,71424,73736,77334,78223,82436,85042,88337,91109,96825,99725,103411,109344,0
SpikedCounterweight,30664,31787,33433,33141,35498,35803,37200,39070,41789,38484,41964,44927,0
VialOfCeaselessToxins,71769,75963,79892,83553,86672,92691,95713,100847,106012,110392,116580,120163,0
WindscarWhetstone,29316,30156,30042,32923,32635,33159,34302,35008,35144,36095,37906,39123,0
ToeKneesPromise,24253,23197,25865,25874,26313,26718,27228,28427,29054,30581,29887,31993,0
TerrorboundNexus,37499,37624,38199,37612,40101,40907,43704,44347,47093,48017,48126,51516,0
TinyOozelingInAJar,29810,31757,32425,32173,31901,34796,35167,36392,38438,40003,41477,41388,0
KiljaedensBurningWish,0,0,0,0,0,0,0,0,100721,0,0,0,127437
InfernalAlchemistStone,0,0,0,0,0,0,0,84854,0,0,0,0,0
